Property Title,Location,Bedrooms,Price,Size,Listing Type
115 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,45 OMR,115.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,15 OMR,,For Rent
900 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,25 OMR,900.0,For Rent
More than 6 bedrooms Chalet for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",,70 OMR,5000.0,For Rent
60 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,45 OMR,60.0,For Rent
Furnished Weekly in Muscat Azaiba,"Muscat, Azaiba",,210 OMR,,For Rent
100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,100 OMR,100.0,For Rent
Al mouj 2 BHK Apartment,"Muscat, Al Mouj",2.0,800 OMR,131440.0,For Rent
4 Bedrooms Chalet for Rent in Muscat Seeb,"Muscat, Seeb",4.0,70 OMR,300.0,For Rent
Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",,80 OMR,,For Rent
مكاتب وشقق فخمة للايجار في قلب سوق السيب,"Muscat, Seeb",,220 OMR,70.0,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",3.0,110 OMR,496.0,For Rent
مكاتب / محلات / معارض للإيجار في صلاله الوسطى - (تم تخفيض السعر),"Dhofar, Salala",,100 OMR,30.0,For Rent
مكتبي الوطيه,"Muscat, Al-Wuttayah",,180 OMR,8.0,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,30 OMR,80.0,For Rent
2 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",2.0,60 OMR,600.0,For Rent
Luxury Commercial Shop for rent Al Hail on Main Highway. محل للايجار على الشارع سلطان قابوس,"Muscat, Al-Hail",,"1,000 OMR",101.0,For Rent
Large Commercial shop for rent Mawaleh near Muzn Mall.,"Muscat, Al Mawaleh",,"1,000 OMR",170.0,For Rent
عقد ايجار مكاتب ومحلات مؤقته لجميع الانشطه التجاريه والصناعيه,"Muscat, Amerat",,50 OMR,50.0,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,40 OMR,80.0,For Rent
"محلات + شقة  بروي خلف شارع هوندا  Shops + apartment for rent in Ruwi Al Walaja, behind Honda Stree","Muscat, Ruwi",,120 OMR,9.0,For Rent
2000 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,60 OMR,2000.0,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",,10 OMR,,For Rent
عقود ايجار مكاتب مؤقتة وترخيص الانشطة Temporary office rental contracts an,"Muscat, Amerat",,75 OMR,20.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,35 OMR,100.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,20 OMR,100.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,50 OMR,,For Rent
140 m2 3 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",3.0,145 OMR,140.0,For Rent
مخزن للايجار في منطقه الرسيل الصناعيه خلف مخازن الشرع. Warehouse for rent in Rusayl indu,"Muscat, Rusail",,800 OMR,250.0,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,20 OMR,1.0,For Rent
2 Bedrooms Chalet for Rent in Muscat Amerat,"Muscat, Amerat",2.0,45 OMR,300.0,For Rent
Modern 1-BHK Apartment for Rent in a Prime Location! Souq Alkhoud,"Muscat, Al Khoud",1.0,300 OMR,104.0,For Rent
480 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,40 OMR,480.0,For Rent
65 m2 Studio Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",,220 OMR,65.0,For Rent
850 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",,1 OMR,850.0,For Rent
75 m2 Studio Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",,80 OMR,75.0,For Rent
