Property Title,Location,Bedrooms,Price,Size,Listing Type
115 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2,45.0,115.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",2,15.0,100.0,For Rent
900 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2,25.0,900.0,For Rent
More than 6 bedrooms Chalet for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",2,70.0,5000.0,For Rent
60 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1,45.0,60.0,For Rent
Furnished Weekly in Muscat Azaiba,"Muscat, Azaiba",2,210.0,100.0,For Rent
100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1,100.0,100.0,For Rent
Al mouj 2 BHK Apartment,"Muscat, Al Mouj",2,800.0,131440.0,For Rent
4 Bedrooms Chalet for Rent in Muscat Seeb,"Muscat, Seeb",4,70.0,300.0,For Rent
Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",2,80.0,100.0,For Rent
مكاتب وشقق فخمة للايجار في قلب سوق السيب,"Muscat, Seeb",2,220.0,70.0,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",3,110.0,496.0,For Rent
مكاتب / محلات / معارض للإيجار في صلاله الوسطى - (تم تخفيض السعر),"Dhofar, Salala",2,100.0,30.0,For Rent
مكتبي الوطيه,"Muscat, Al-Wuttayah",2,180.0,8.0,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2,30.0,80.0,For Rent
2 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",2,60.0,600.0,For Rent
Luxury Commercial Shop for rent Al Hail on Main Highway. محل للايجار على الشارع سلطان قابوس,"Muscat, Al-Hail",2,1000.0,101.0,For Rent
Large Commercial shop for rent Mawaleh near Muzn Mall.,"Muscat, Al Mawaleh",2,1000.0,170.0,For Rent
عقد ايجار مكاتب ومحلات مؤقته لجميع الانشطه التجاريه والصناعيه,"Muscat, Amerat",2,50.0,50.0,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2,40.0,80.0,For Rent
"محلات + شقة  بروي خلف شارع هوندا  Shops + apartment for rent in Ruwi Al Walaja, behind Honda Stree","Muscat, Ruwi",2,120.0,9.0,For Rent
2000 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2,60.0,2000.0,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",2,10.0,100.0,For Rent
عقود ايجار مكاتب مؤقتة وترخيص الانشطة Temporary office rental contracts an,"Muscat, Amerat",2,75.0,20.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2,35.0,100.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2,20.0,100.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",2,50.0,100.0,For Rent
140 m2 3 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",3,145.0,140.0,For Rent
مخزن للايجار في منطقه الرسيل الصناعيه خلف مخازن الشرع. Warehouse for rent in Rusayl indu,"Muscat, Rusail",2,800.0,250.0,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2,20.0,1.0,For Rent
2 Bedrooms Chalet for Rent in Muscat Amerat,"Muscat, Amerat",2,45.0,300.0,For Rent
Modern 1-BHK Apartment for Rent in a Prime Location! Souq Alkhoud,"Muscat, Al Khoud",1,300.0,104.0,For Rent
480 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2,40.0,480.0,For Rent
65 m2 Studio Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",2,220.0,65.0,For Rent
850 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",2,1.0,850.0,For Rent
75 m2 Studio Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",2,80.0,75.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",2,100.0,100.0,For Rent
70 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1,45.0,70.0,For Rent
محل للإيجار في الباطنة,"Al Batinah, Sohar",2,150.0,20.0,For Rent
