Property Title,Location,Bedrooms,Price,Size,Listing Type
4-BEDROOM VILLA,Azaiba,4,500,,For Rent
STUDIO FLAT,Bausher,1,270,,For Rent
COMMERCIAL SHOP,Al Mawaleh,,350,65,For Rent
2-BEDROOM APARTMENT,Al Ansab,2,300,,For Rent
2-BEDROOM APARTMENT,Shatti Al Qurum,2,500,,For Rent
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,1500,,For Rent
COMMERCIAL SHOP,Ghala,,370,39,For Rent
COMMERCIAL OFFICE SPACE,Bausher,,4,,For Rent
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,"2,3,4",650,,For Rent
COMMERCIAL SPACE,Shatti Al Qurum,,6,,For Rent
5+1 BEDROOM TWIN VILLA,Al Ansab,5,750,,For Rent
RETAIL SPACES,Al Khuwair,,7,,For Rent
Showroom- Fitted for Medical or Healthcare Use,,10,7,,For Rent
COMMERCIAL SPACE,Azaiba,,2200,,For Rent
4-BEDROOM VILLA,Azaiba,4,500,,For Rent
STUDIO FLAT,Bausher,1,270,,For Rent
COMMERCIAL SHOP,Al Mawaleh,,350,65,For Rent
2-BEDROOM APARTMENT,Al Ansab,2,300,,For Rent
2-BEDROOM APARTMENT,Shatti Al Qurum,2,500,,For Rent
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,1500,,For Rent
COMMERCIAL SHOP,Ghala,,370,39,For Rent
COMMERCIAL OFFICE SPACE,Bausher,,4,,For Rent
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,"2,3,4",650,,For Rent
COMMERCIAL SPACE,Shatti Al Qurum,,6,,For Rent
5+1 BEDROOM TWIN VILLA,Al Ansab,5,750,,For Rent
RETAIL SPACES,Al Khuwair,,7,,For Rent
Showroom- Fitted for Medical or Healthcare Use,,10,7,,For Rent
COMMERCIAL SPACE,Azaiba,,2200,,For Rent
2-BEDROOM APARTMENT,Maabelah,2,180,,For Rent
1 & 2-BEDROOM APARTMENT,Al Ghoubrah,1,250,,For Rent
4-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,800,,For Rent
4-BEDROOM TWIN VILLA,,4,700,,For Rent
4-BEDROOM VILLA,,4,600,,For Rent
3-BEDROOM APARTMENT,Darsait,3,400,,For Rent
2+1 BEDROOM APARTMENT,Al Ghoubrah,2,550,,For Rent
5-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),5,1800,,For Rent
7-BEDROOM TWIN VILLA,Al Mawaleh,7,675,,For Rent
5-BEDROOM COMPOUND VILLA,Madinat Al llam,5,900,,For Rent
OFFICE SPACE,Muscat Hills,,6,51.63,For Rent
3-BEDROOM TOWNHOUSE,The Wave Muscat,3,1100,,For Rent
5-BEDROOM DETACHED VILLA,Muscat Hills,5,2500,,For Rent
5-BEDROOM TWIN VILLA,Al Ansab,5,700,,For Rent
2-BEDROOM APARTMENT,Al Ghoubrah,2,600,,For Rent
2-BEDROOM APARTMENT,Muscat Hills,2,450,,For Rent
4-BEDROOM TWIN VILLA,Al Mawaleh,4,560,,For Rent
3-BEDROOM TWIN VILLA,Al Mawaleh,3,560,,For Rent
1-BEDROOM APARTMENT,Muscat Hills,1,375,,For Rent
6+2 BEDROOM STANDALONE VILLA,Qurum,6,1300,1255,For Rent
6-BEDROOM APARTMENT,Al Khuwair,6,550,,For Rent
