propert_title,propert_location,price,area,listing_type
120000 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,120000,For Rent
3 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",,250,For Rent
10 m2 Studio Apartments for Rent in Muscat Amerat,"Muscat, Amerat",7 OMR,10,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",8 OMR,,For Rent
للإيجار مكتب  تجاري واجهة على شارع مزون - معرض ب مساحة مفتوحة بالقرب من المحكمة وامام مختبر الصحة,"Muscat, Al Khoud",600 OMR,125,For Rent
95 m2 2 Bedrooms Apartments for Rent in Muscat Ghala,"Muscat, Ghala",25 OMR,95,For Rent
1 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",15 OMR,1,For Rent
300 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,300,For Rent
3 plus 1 BHK Brand New Villa with Private Pool in Al Muna PPV283,"Muscat, Bosher",950 OMR,280,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",70 OMR,,For Rent
222 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",30 OMR,222,For Rent
Furnished Monthly in Muscat Al-Hail,"Muscat, Al-Hail",5 OMR,,For Rent
معرض تجاري للايجار,"Dhofar, Salala",700 OMR,270,For Rent
54 m2 Studio Apartments for Rent in Muscat Bosher,"Muscat, Bosher",20 OMR,54,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",85 OMR,2500,For Rent
1 Bedroom Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",75 OMR,2000,For Rent
3 Bedrooms Chalet for Rent in Muscat Seeb,"Muscat, Seeb",90 OMR,2500,For Rent
Studio Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",75 OMR,2500,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",25 OMR,100,For Rent
70 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",18 OMR,70,For Rent
450 m2 More than 6 bedrooms Villa for Rent in Dhofar Other,"Dhofar, Other",140 OMR,450,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",1 OMR,,For Rent
2 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,2,For Rent
Furnished Monthly in Muscat Al-Hail,"Muscat, Al-Hail",40 OMR,,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",35 OMR,,For Rent
55 m2 1 Bedroom Apartments for Rent in Muscat Ghala,"Muscat, Ghala",300 OMR,55,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,100,For Rent
Homran House,"Dhofar, Salala",45 OMR,,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",15 OMR,100,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",15 OMR,,For Rent
50 m2 2 Bedrooms Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",15 OMR,50,For Rent
Furnished Daily in Dhofar Taqah,"Dhofar, Taqah",15 OMR,,For Rent
900 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,900,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",17 OMR,100,For Rent
56 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala","45,000 OMR",56,For Rent
400 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",95 OMR,400,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",6 OMR,,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",13 OMR,,For Rent
110 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",75 OMR,110,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",60 OMR,300,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",120 OMR,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",12 OMR,100,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",100 OMR,,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,90,For Rent
