property_title,property_location,price,area,listing_type
2-BEDROOM APARTMENT,Al Ansab,300,,For Rent
2-BEDROOM APARTMENT,Shatti Al Qurum,500,,For Rent
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),1500,,For Rent
COMMERCIAL SHOP,Ghala,370,39,For Rent
COMMERCIAL OFFICE SPACE,Bausher,4,,For Rent
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,650,,For Rent
COMMERCIAL SPACE,Shatti Al Qurum,6,,For Rent
6+1 BEDROOM TWIN VILLA,Bausher,1000,,For Rent
5+1 BEDROOM TWIN VILLA,Al Ansab,750,,For Rent
RETAIL SPACES,Al Khuwair,7,,For Rent
Showroom- Fitted for Medical or Healthcare Use,,7,,For Rent
COMMERCIAL SPACE,Azaiba,2200,,For Rent
2-BEDROOM APARTMENT,Maabelah,180,,For Rent
3-BEDROOM APARTMENT,Al Khuwair,280,,For Rent
1 & 2-BEDROOM APARTMENT,Al Ghoubrah,250,,For Rent
4-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),800,,For Rent
4-BEDROOM TWIN VILLA,,700,,For Rent
4-BEDROOM VILLA,,600,,For Rent
3-BEDROOM APARTMENT,Darsait,400,,For Rent
2+1 BEDROOM APARTMENT,Al Ghoubrah,550,,For Rent
5-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),1800,,For Rent
7-BEDROOM TWIN VILLA,Al Mawaleh,675,,For Rent
5-BEDROOM COMPOUND VILLA,Madinat Al llam,900,,For Rent
OFFICE SPACE,Muscat Hills,6,51.63,For Rent
3-BEDROOM TOWNHOUSE,The Wave Muscat,1100,,For Rent
5-BEDROOM DETACHED VILLA,Muscat Hills,2500,,For Rent
5-BEDROOM TWIN VILLA,Al Ansab,700,,"For Rent, For Sale"
2-BEDROOM APARTMENT,Al Ghoubrah,600,,For Rent
2-BEDROOM APARTMENT,Muscat Hills,450,,For Rent
2-BEDROOM APARTMENT,Al Mawaleh,275,,For Rent
4-BEDROOM TWIN VILLA,Al Mawaleh,560,,For Rent
3-BEDROOM TWIN VILLA,Al Mawaleh,560,,For Rent
1-BEDROOM APARTMENT,Muscat Hills,375,,For Rent
6+2 BEDROOM STANDALONE VILLA,Qurum,1300,1255,For Rent
6-BEDROOM APARTMENT,Al Khuwair,550,,For Rent
4+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,700,,For Rent
4+1 TWIN VILLA,Shatti Al Qurum,1000,,"For Rent, For Sale"
4-BEDROOM TOWNHOUSE,Al Hail,450,,For Rent
3+1 TOWNHOUSE,Maabelah,600,,For Rent
2-BEDROOM TOWNHOUSE,Al Ansab,650,200,For Rent
2-BEDROOM APARTMENT,Al Ansab,400,,For Rent
6-BEDROOM TWIN VILLA,Shatti Al Qurum,700,,For Rent
6 BEDROOM DETACHED VILLA,Madinat Al llam,850,,For Rent
4 BEDROOM TWIN-VILLA,Al Mawaleh,700,,For Rent
Office Space,Bausher,400,55,For Rent
2 + 1 FULLY FURNISHED APARTMENT,Qurum,500,,For Rent
5 BEDROOM TOWNHOUSE,Qurum,850,,For Rent
5 BEDROOM TOWNHOUSE,Qurum,950,,For Rent
2 BEDROOM APARTMENT,Shatti Al Qurum,450,,For Rent
3 BEDROOM APARTMENT,Azaiba,330,,For Rent
1 & 2 BEDROOM APARTMENT,Azaiba,280,,For Rent
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,400,300,For Rent
COMMERCIAL OFFICE SPACE IN (BAUSHER),Bausher,1600,415,For Rent
3 BEDROOM APARTMENT IN (DARSIT),Darsait,450,,For Rent
2 BEDROOM APARTMENT IN (DARSIT),Darsait,400,,For Rent
3+1 BEDROOM TOWNHOUSE IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),650,,For Rent
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,475,,For Rent
3 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,360,,For Rent
2 BEDROOM APARTMENT IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),300,150,For Rent
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,550,,For Rent
